Dates,USDZARV1M,USDZARV3M,USDZARV1Y,USDZARPX_LAST,USDZARPX_BID,USDZARPX_ASK
2018-03-21,12.685,13.3,14.475,11.8326,11.8213,11.844
2018-03-22,12.5975,13.235,14.35,11.8518,11.8412,11.8624
2018-03-23,12.93,13.375,14.325,11.7473,11.6867,11.8079
2018-03-26,12.77,13.26,14.29,11.6337,11.615,11.6525
2018-03-27,12.285,13.0075,14.13,11.6697,11.6592,11.6802
2018-03-28,12.1425,13.0425,14.115,11.7771,11.7666,11.7875
2018-03-29,12.1625,12.9375,14.1325,11.8388,11.8275,11.8502
2018-03-30,12.215,12.955,14.1,11.8408,11.7997,11.8819
2018-04-02,12.655,13.08,14.14,11.8486,11.8321,11.865
2018-04-03,12.6475,13.0325,14.07,11.8213,11.8125,11.83
2018-04-04,12.475,12.975,14.06,11.8827,11.8654,11.9
2018-04-05,12.0725,12.8225,13.905,11.9788,11.9648,11.9928
2018-04-06,12.1225,12.8375,13.88,12.0329,12.0176,12.0481
2018-04-09,12.705,13.04,14.065,12.0967,12.0834,12.11
2018-04-10,12.685,12.975,14.065,12.0364,12.0273,12.0455
2018-04-11,12.545,12.9875,14.03,11.9421,11.9303,11.9539
2018-04-12,12.28,12.8525,13.8975,12.061,12.0514,12.0707
2018-04-13,11.9675,12.655,13.7725,12.073,12.0429,12.1031
2018-04-16,11.9425,12.485,13.76,12.0525,12.0449,12.06
2018-04-17,11.725,12.265,13.56,11.9864,11.9753,11.9975
2018-04-18,11.27,12.0425,13.305,11.9317,11.9208,11.9425
2018-04-19,10.8375,11.87,13.24,11.9604,11.9531,11.9677
2018-04-20,10.94,11.82,13.175,12.1075,12.0865,12.1285
2018-04-23,12.11,12.405,13.42,12.35,12.3297,12.3704
2018-04-24,12.3125,12.5125,13.5325,12.3262,12.3158,12.3365
2018-04-25,13.07,13.2,13.86,12.4399,12.4275,12.4523
2018-04-26,13.155,13.225,13.87,12.3981,12.3728,12.4234
2018-04-27,12.185,12.62,13.57,12.3294,12.3138,12.345
2018-04-30,12.34,12.57,13.655,12.4608,12.4405,12.4812
2018-05-01,12.995,13.13,13.83,12.6528,12.626,12.6795
2018-05-02,13.365,13.56,14.24,12.7067,12.6905,12.723
2018-05-03,13.73,13.96,14.32,12.5863,12.57,12.6025
2018-05-04,13.935,14.1,14.38,12.4991,12.4859,12.5122
2018-05-07,13.99,14.05,14.35,12.5421,12.525,12.5593
2018-05-08,13.835,13.9325,14.305,12.57,12.5593,12.5806
2018-05-09,13.8,13.925,14.3225,12.5573,12.5394,12.5751
2018-05-10,13.0825,13.605,14.13,12.301,12.2882,12.3137
2018-05-11,13.01,13.37,14.03,12.2576,12.1842,12.331
2018-05-14,13.5575,13.5725,14.0675,12.33,12.3187,12.3412
2018-05-15,14.2425,14.085,14.395,12.575,12.56,12.59
2018-05-16,14.58,14.4225,14.5475,12.436,12.4202,12.4518
2018-05-17,14.805,14.5175,14.7025,12.607,12.5915,12.6225
2018-05-18,15.595,15.405,15.36,12.7643,12.7304,12.7983
2018-05-21,16.365,15.7425,15.6275,12.6747,12.66,12.6895
2018-05-22,15.5175,15.1925,15.39,12.5717,12.5572,12.5862
2018-05-23,15.77,15.285,15.48,12.4548,12.4459,12.4637
2018-05-24,14.8825,14.735,14.97,12.4226,12.41,12.4352
2018-05-25,14.785,14.73,14.965,12.5018,12.4489,12.5547
2018-05-28,15.005,14.81,15.0175,12.4652,12.4477,12.4827
2018-05-29,15.0825,14.845,15.0525,12.695,12.686,12.704
2018-05-30,14.9625,14.8825,15.08,12.5218,12.5086,12.535
2018-05-31,14.5675,14.805,15.0775,12.6993,12.6857,12.7129
2018-06-01,14.475,14.615,14.9625,12.6883,12.6711,12.7056
2018-06-04,14.5075,14.4975,14.96,12.5672,12.5525,12.5818
2018-06-05,15.09,14.76,15.1,12.7696,12.7517,12.7875
2018-06-06,15.02,14.8425,15.2575,12.7101,12.6959,12.7242
2018-06-07,15.5075,15.53,15.555,12.9759,12.9117,13.04
2018-06-08,17.235,16.72,16.43,13.0677,13.0189,13.1165
2018-06-11,17.26,16.61,16.42,13.1633,13.148,13.1786
2018-06-12,17.415,16.665,16.4175,13.3325,13.315,13.35
2018-06-13,17.28,16.5675,16.3675,13.3081,13.2907,13.3255
2018-06-14,16.54,16.55,16.2725,13.4548,13.4426,13.467
2018-06-15,16.6775,16.44,16.3625,13.4307,13.4153,13.4462
2018-06-18,17.3675,16.8275,16.4875,13.6441,13.6288,13.6594
2018-06-19,18.2775,17.29,16.925,13.7509,13.7369,13.765
2018-06-20,17.4875,16.795,16.5675,13.6555,13.6418,13.6691
2018-06-21,17.0225,16.79,16.6225,13.5825,13.575,13.59
2018-06-22,16.73,16.5025,16.5875,13.4373,13.3771,13.4975
2018-06-25,17.0625,16.575,16.545,13.5432,13.5331,13.5533
2018-06-26,16.79,16.3975,16.4825,13.5386,13.5238,13.5535
2018-06-27,16.63,16.29,16.4175,13.8585,13.8442,13.8728
2018-06-28,17.1275,16.845,16.645,13.7705,13.748,13.7929
2018-06-29,16.625,16.5375,16.53,13.725,13.7017,13.7483
2018-07-02,17.0525,16.605,16.575,13.8313,13.8125,13.85
2018-07-03,16.4275,16.195,16.43,13.6756,13.6595,13.6918
2018-07-04,16.2275,16.175,16.3575,13.6816,13.6716,13.6915
2018-07-05,15.5925,15.795,16.0625,13.5365,13.5186,13.5545
2018-07-06,15.0775,15.405,15.92,13.4719,13.4271,13.5167
2018-07-09,14.98,15.015,15.7725,13.4111,13.3958,13.4263
2018-07-10,15.0725,15.175,15.675,13.3318,13.3109,13.3527
2018-07-11,15.1775,15.205,15.695,13.5472,13.5225,13.5719
2018-07-12,15.075,15.3775,15.9,13.3023,13.2942,13.3104
2018-07-13,14.975,15.15,15.755,13.2723,13.2178,13.3268
2018-07-16,15.0975,15.1125,15.73,13.2225,13.205,13.24
2018-07-17,14.7425,14.875,15.615,13.2702,13.2514,13.2889
2018-07-18,14.68,14.8825,15.6075,13.2677,13.2602,13.2753
2018-07-19,14.885,15.2475,15.795,13.5379,13.5264,13.5495
2018-07-20,14.85,15.1175,15.735,13.4043,13.3874,13.4212
2018-07-23,15.045,15.105,15.65,13.4603,13.4459,13.4747
2018-07-24,14.93,14.985,15.6075,13.283,13.2731,13.2929
2018-07-25,14.875,15.01,15.5025,13.109,13.0989,13.1191
2018-07-26,14.555,14.9025,15.5275,13.2437,13.2293,13.258
2018-07-27,14.5275,14.8,15.5,13.1723,13.1194,13.2253
2018-07-30,14.9825,14.9075,15.56,13.1554,13.1453,13.1656
2018-07-31,14.87,14.825,15.52,13.275,13.2667,13.2834
2018-08-01,14.945,15.035,15.59,13.2207,13.1997,13.2418
2018-08-02,14.66,15.105,15.64,13.449,13.4279,13.47
2018-08-03,14.4175,14.8625,15.69,13.323,13.2954,13.3505
2018-08-06,14.84,15.01,15.6975,13.4415,13.4294,13.4536
2018-08-07,14.6525,15.1625,15.705,13.3329,13.3208,13.345
2018-08-08,14.94,15.35,15.745,13.409,13.4001,13.418
2018-08-09,15.43,15.67,15.9875,13.7077,13.6992,13.7162
2018-08-10,18.64,18.07,17.52,14.0934,14.0426,14.1442
2018-08-13,22.9675,21.5,20.0625,14.4194,14.4038,14.4351
2018-08-14,21.8525,20.8,19.555,14.2481,14.2299,14.2664
2018-08-15,24.5975,22.645,20.425,14.5657,14.5454,14.586
2018-08-16,23.2325,22.24,20.3975,14.7367,14.7071,14.7663
2018-08-17,24.8,23.0975,20.79,14.6382,14.6033,14.6731
2018-08-20,23.5325,21.9025,20.3475,14.5272,14.5146,14.5399
2018-08-21,22.3175,21.12,19.7125,14.3938,14.375,14.4125
2018-08-22,21.0475,20.3625,19.3125,14.1626,14.1484,14.1768
2018-08-23,20.7275,20.41,19.5125,14.4054,14.3867,14.4241
2018-08-24,19.65,19.4625,19.1925,14.2484,14.2305,14.31
2018-08-27,20.3725,19.945,19.0775,14.1637,14.146,14.1815
2018-08-28,19.2,19.21,18.8325,14.2273,14.2145,14.2402
2018-08-29,19.2475,19.185,18.925,14.3566,14.34,14.3731
2018-08-30,20.9875,20.235,19.42,14.7247,14.7055,14.7439
