Dates,GBPUSDV1M,GBPUSDV3M,GBPUSDV1Y,GBPUSDPX_LAST,GBPUSDPX_BID,GBPUSDPX_ASK
2005-06-07 00:00:00,7.475,8.0,8.425,1.8352,1.835,1.8353
2005-06-08 00:00:00,7.45,7.85,8.32,1.8232,1.823,1.8233
2005-06-09 00:00:00,7.5,7.95,8.375,1.8205,1.8205,1.8205
2005-06-10 00:00:00,7.625,8.0,8.425,1.8126,1.8124,1.8127
2005-06-13 00:00:00,8.15,8.3,8.5,1.8068,1.8066,1.8069
2005-06-14 00:00:00,8.075,8.2,8.475,1.806,1.8059,1.8061
2005-06-15 00:00:00,7.775,7.95,8.375,1.8227,1.8226,1.8228
2005-06-16 00:00:00,7.675,7.95,8.375,1.8225,1.8223,1.8226
2005-06-17 00:00:00,7.475,7.8,8.275,1.8309,1.8307,1.831
2005-06-20 00:00:00,7.5,7.9,8.3,1.8242,1.8243,1.8244
2005-06-21 00:00:00,7.575,7.9,8.275,1.8296,1.8293,1.8297
2005-06-22 00:00:00,7.575,7.9,8.275,1.8219,1.8217,1.822
2005-06-23 00:00:00,7.55,7.925,8.325,1.8154,1.8152,1.8154
2005-06-24 00:00:00,7.375,7.8,8.325,1.8245,1.8243,1.8246
2005-06-27 00:00:00,7.175,7.6,8.125,1.8287,1.8286,1.8288
2005-06-28 00:00:00,7.225,7.7,8.225,1.8146,1.8144,1.8148
2005-06-29 00:00:00,7.525,8.0,8.375,1.8065,1.8064,1.8065
2005-06-30 00:00:00,7.625,7.95,8.325,1.7915,1.7914,1.7916
2005-07-01 00:00:00,8.0,8.2,8.425,1.7675,1.7673,1.7677
2005-07-04 00:00:00,8.325,8.3,8.475,1.7597,1.7595,1.7598
2005-07-05 00:00:00,8.325,8.35,8.475,1.7566,1.7565,1.7566
2005-07-06 00:00:00,8.175,8.3,8.425,1.7541,1.754,1.7543
2005-07-07 00:00:00,8.575,8.55,8.525,1.7448,1.7446,1.745
2005-07-08 00:00:00,8.3,8.25,8.375,1.7382,1.738,1.7383
2005-07-11 00:00:00,7.925,8.05,8.275,1.7579,1.7577,1.7581
2005-07-12 00:00:00,8.075,8.05,8.175,1.778,1.7779,1.7782
2005-07-13 00:00:00,8.175,8.1,8.275,1.7647,1.7645,1.7648
2005-07-14 00:00:00,8.05,8.075,8.2,1.7566,1.7564,1.7567
2005-07-15 00:00:00,7.85,7.875,8.1,1.752,1.752,1.7521
2005-07-18 00:00:00,8.1,8.025,8.125,1.7487,1.7485,1.7488
2005-07-19 00:00:00,8.225,8.15,8.25,1.7404,1.7402,1.7405
2005-07-20 00:00:00,8.225,8.2,8.225,1.7377,1.7376,1.7377
2005-07-21 00:00:00,8.325,8.2,8.175,1.7517,1.7514,1.7519
2005-07-22 00:00:00,8.175,8.1,8.125,1.7389,1.7387,1.7391
2005-07-25 00:00:00,8.225,8.15,8.075,1.7459,1.7459,1.746
2005-07-26 00:00:00,8.225,8.1,8.075,1.7376,1.7374,1.7377
2005-07-27 00:00:00,8.025,8.1,8.125,1.7446,1.7444,1.7447
2005-07-28 00:00:00,8.025,8.15,8.125,1.7561,1.7558,1.7562
2005-07-29 00:00:00,8.075,8.0,8.125,1.7579,1.7578,1.758
2005-08-01 00:00:00,8.175,8.0,8.175,1.7681,1.768,1.7681
2005-08-02 00:00:00,7.975,7.95,8.075,1.7709,1.7706,1.771
2005-08-03 00:00:00,8.125,8.0,8.125,1.7778,1.7776,1.7779
2005-08-04 00:00:00,7.775,7.95,8.125,1.7806,1.7805,1.7807
2005-08-05 00:00:00,7.575,7.85,8.075,1.7793,1.7792,1.7794
2005-08-08 00:00:00,7.675,7.8,8.075,1.7847,1.7845,1.7848
2005-08-09 00:00:00,7.65,7.85,8.025,1.7874,1.7873,1.7875
2005-08-10 00:00:00,7.425,7.75,8.025,1.795,1.7946,1.7951
2005-08-11 00:00:00,7.6,7.8,8.025,1.8109,1.8108,1.811
2005-08-12 00:00:00,7.375,7.7,8.075,1.8147,1.8146,1.8147
2005-08-15 00:00:00,7.575,7.8,8.075,1.8116,1.8115,1.8118
2005-08-16 00:00:00,7.55,7.775,8.025,1.8113,1.8111,1.8114
2005-08-17 00:00:00,7.475,7.75,8.025,1.806,1.8058,1.8061
2005-08-18 00:00:00,7.475,7.8,8.075,1.7953,1.7952,1.7954
2005-08-19 00:00:00,7.5,7.75,8.15,1.795,1.7949,1.795
2005-08-22 00:00:00,7.7,7.85,8.0,1.8001,1.8001,1.8001
2005-08-23 00:00:00,7.55,7.8,8.05,1.8017,1.8016,1.8019
2005-08-24 00:00:00,7.425,7.75,8.075,1.8011,1.8009,1.8012
2005-08-25 00:00:00,7.425,7.75,8.175,1.8033,1.8032,1.8033
2005-08-26 00:00:00,7.35,7.65,8.1,1.8002,1.8002,1.8002
2005-08-29 00:00:00,7.525,7.8,8.175,1.7965,1.7963,1.7966
2005-08-30 00:00:00,7.575,7.9,8.175,1.7866,1.7865,1.7867
2005-08-31 00:00:00,7.725,8.0,8.275,1.8041,1.804,1.8042
2005-09-01 00:00:00,7.875,8.15,8.275,1.8343,1.8343,1.8343
2005-09-02 00:00:00,7.925,8.2,8.325,1.8418,1.8418,1.8418
2005-09-05 00:00:00,8.175,8.25,8.375,1.8444,1.8443,1.8444
2005-09-06 00:00:00,8.075,8.175,8.375,1.8427,1.8426,1.8427
2005-09-07 00:00:00,8.125,8.15,8.325,1.8366,1.8365,1.8367
2005-09-08 00:00:00,7.575,8.0,8.275,1.8357,1.8355,1.8358
2005-09-09 00:00:00,7.475,7.95,8.275,1.8391,1.8391,1.8391
2005-09-12 00:00:00,7.725,8.0,8.325,1.8197,1.8196,1.8197
2005-09-13 00:00:00,7.775,7.95,8.325,1.8224,1.8222,1.8225
2005-09-14 00:00:00,7.725,8.0,8.225,1.8239,1.8237,1.8239
2005-09-15 00:00:00,7.825,8.1,8.325,1.8061,1.8059,1.8062
2005-09-16 00:00:00,7.725,8.15,8.375,1.8082,1.8082,1.8082
2005-09-19 00:00:00,7.925,8.1,8.325,1.8022,1.8022,1.8023
2005-09-20 00:00:00,7.85,7.95,8.275,1.7984,1.7983,1.7984
2005-09-21 00:00:00,7.675,7.85,8.175,1.8098,1.8096,1.8099
2005-09-22 00:00:00,7.725,7.95,8.225,1.7905,1.7905,1.7905
2005-09-23 00:00:00,7.775,8.0,8.3,1.7755,1.7755,1.7755
2005-09-26 00:00:00,8.1,8.2,8.375,1.7793,1.779,1.7795
2005-09-27 00:00:00,8.225,8.25,8.375,1.7664,1.7664,1.7664
2005-09-28 00:00:00,8.125,8.1,8.375,1.7679,1.7678,1.7679
2005-09-29 00:00:00,8.125,8.1,8.375,1.7612,1.7612,1.7612
2005-09-30 00:00:00,8.125,8.05,8.375,1.7643,1.7642,1.7643
2005-10-03 00:00:00,8.325,8.3,8.425,1.755,1.755,1.755
2005-10-04 00:00:00,8.175,8.0,8.325,1.7589,1.7587,1.7591
2005-10-05 00:00:00,8.025,8.05,8.275,1.7624,1.7623,1.7624
2005-10-06 00:00:00,8.175,8.0,8.325,1.7789,1.7787,1.779
2005-10-07 00:00:00,8.0,8.0,8.3,1.7617,1.7617,1.7617
2005-10-10 00:00:00,8.025,8.0,8.325,1.7564,1.7563,1.7564
2005-10-11 00:00:00,8.15,8.0,8.275,1.7464,1.7464,1.7464
2005-10-12 00:00:00,8.125,8.05,8.325,1.7517,1.7515,1.7518
2005-10-13 00:00:00,8.075,8.125,8.375,1.7568,1.7566,1.757
2005-10-14 00:00:00,8.025,8.0,8.325,1.7684,1.7683,1.7685
2005-10-17 00:00:00,8.325,8.15,8.375,1.7542,1.7541,1.7542
2005-10-18 00:00:00,8.375,8.25,8.425,1.7511,1.751,1.7512
2005-10-19 00:00:00,8.35,8.2,8.375,1.7654,1.7654,1.7654
2005-10-20 00:00:00,8.275,8.35,8.375,1.7745,1.7742,1.7746
2005-10-21 00:00:00,8.15,8.15,8.35,1.7685,1.7684,1.7686
2005-10-24 00:00:00,8.175,8.1,8.275,1.7691,1.7691,1.7691
